employee_id,login_hour,file_name,file_sensitivity,action,location,device,files_accessed,is_anomaly,risk_status,risk_score,severity,reasons
EMP334,11,salary.xlsx,CRITICAL,READ,Office,Managed,2,0,NORMAL,15,LOW,Critical file accessed
EMP012,9,employee_handbook.pdf,LOW,READ,Office,Managed,3,0,NORMAL,0,LOW,
EMP139,12,finance_report.xlsx,HIGH,READ,Office,Managed,4,0,NORMAL,0,LOW,
EMP395,15,finance_report.xlsx,HIGH,READ,VPN,Managed,24,0,NORMAL,15,LOW,VPN access
EMP433,16,finance_report.xlsx,HIGH,SHARE,Remote,Managed,21,0,NORMAL,0,LOW,
EMP125,10,project_plan.xlsx,MEDIUM,WRITE,Office,Managed,18,0,NORMAL,0,LOW,
EMP291,17,team_notes.docx,LOW,WRITE,VPN,Managed,4,0,NORMAL,15,LOW,VPN access
EMP441,2,salary.xlsx,CRITICAL,UPLOAD,VPN,Personal,351,1,ANOMALY,100,CRITICAL,"After-hours login, Personal device, VPN access, High volume file access, Critical file accessed, ML anomaly detected"
EMP125,8,employee_handbook.pdf,LOW,READ,Office,Managed,17,0,NORMAL,0,LOW,
EMP024,18,employee_handbook.pdf,LOW,READ,Office,Managed,8,0,NORMAL,0,LOW,
EMP177,8,project_plan.xlsx,MEDIUM,READ,Office,Managed,20,0,NORMAL,0,LOW,
EMP084,17,employee_handbook.pdf,LOW,WRITE,Office,Managed,8,0,NORMAL,0,LOW,
EMP328,17,salary.xlsx,CRITICAL,READ,VPN,Managed,30,0,NORMAL,30,LOW,"VPN access, Critical file accessed"
EMP452,14,team_notes.docx,LOW,READ,Remote,Managed,30,0,NORMAL,0,LOW,
EMP120,12,payroll.xlsx,CRITICAL,WRITE,Office,Managed,30,0,NORMAL,15,LOW,Critical file accessed
EMP113,5,payroll.xlsx,CRITICAL,DOWNLOAD,VPN,Personal,197,1,NORMAL,90,CRITICAL,"After-hours login, Personal device, VPN access, High volume file access, Critical file accessed"
EMP296,17,team_notes.docx,LOW,WRITE,Office,Personal,10,0,NORMAL,15,LOW,Personal device
EMP013,14,employee_handbook.pdf,LOW,READ,Office,Managed,25,0,NORMAL,0,LOW,
EMP019,15,salary.xlsx,CRITICAL,READ,Office,Managed,25,0,NORMAL,15,LOW,Critical file accessed
EMP165,17,project_plan.xlsx,MEDIUM,EXPORT,Office,Managed,13,0,NORMAL,0,LOW,
EMP221,13,payroll.xlsx,CRITICAL,WRITE,Office,Managed,25,0,NORMAL,15,LOW,Critical file accessed
EMP241,18,salary.xlsx,CRITICAL,READ,Remote,Managed,5,0,NORMAL,15,LOW,Critical file accessed
EMP034,12,team_notes.docx,LOW,WRITE,Office,Managed,17,0,NORMAL,0,LOW,
EMP110,11,payroll.xlsx,CRITICAL,READ,Remote,Managed,19,0,NORMAL,15,LOW,Critical file accessed
EMP160,10,project_plan.xlsx,MEDIUM,READ,Office,Managed,3,0,NORMAL,0,LOW,
EMP036,11,salary.xlsx,CRITICAL,READ,Office,Managed,10,0,NORMAL,15,LOW,Critical file accessed
EMP271,13,finance_report.xlsx,HIGH,READ,Office,Managed,18,0,NORMAL,0,LOW,
EMP195,12,employee_handbook.pdf,LOW,READ,Remote,Managed,12,0,NORMAL,0,LOW,
EMP200,18,employee_handbook.pdf,LOW,READ,Office,Managed,3,0,NORMAL,0,LOW,
EMP039,16,project_plan.xlsx,MEDIUM,UPLOAD,Office,Managed,29,0,NORMAL,0,LOW,
EMP178,14,salary.xlsx,CRITICAL,DOWNLOAD,Remote,Managed,4,0,NORMAL,15,LOW,Critical file accessed
EMP296,11,salary.xlsx,CRITICAL,WRITE,Office,Managed,21,0,NORMAL,15,LOW,Critical file accessed
EMP499,9,team_notes.docx,LOW,READ,Office,Managed,26,0,NORMAL,0,LOW,
EMP068,4,payroll.xlsx,CRITICAL,DOWNLOAD,Remote,Personal,207,1,ANOMALY,100,CRITICAL,"After-hours login, Personal device, High volume file access, Critical file accessed, ML anomaly detected"
EMP343,13,employee_handbook.pdf,LOW,READ,Remote,Managed,20,0,NORMAL,0,LOW,
EMP299,17,project_plan.xlsx,MEDIUM,READ,Office,Managed,2,0,NORMAL,0,LOW,
EMP101,18,project_plan.xlsx,MEDIUM,EXPORT,Office,Managed,20,0,NORMAL,0,LOW,
EMP199,16,employee_handbook.pdf,LOW,READ,Office,Managed,15,0,NORMAL,0,LOW,
EMP449,8,project_plan.xlsx,MEDIUM,READ,Office,Managed,11,0,NORMAL,0,LOW,
EMP114,18,finance_report.xlsx,HIGH,SHARE,Remote,Managed,30,0,NORMAL,0,LOW,
EMP306,9,finance_report.xlsx,HIGH,READ,Office,Managed,9,0,NORMAL,0,LOW,
EMP207,18,salary.xlsx,CRITICAL,READ,Office,Managed,16,0,NORMAL,15,LOW,Critical file accessed
EMP498,15,finance_report.xlsx,HIGH,WRITE,Office,Managed,14,0,NORMAL,0,LOW,
EMP370,16,salary.xlsx,CRITICAL,READ,Office,Managed,2,0,NORMAL,15,LOW,Critical file accessed
EMP231,11,project_plan.xlsx,MEDIUM,READ,Office,Personal,28,0,NORMAL,15,LOW,Personal device
EMP136,10,team_notes.docx,LOW,READ,Office,Managed,19,0,NORMAL,0,LOW,
EMP001,17,payroll.xlsx,CRITICAL,READ,VPN,Personal,2,0,ANOMALY,75,HIGH,"Personal device, VPN access, Critical file accessed, ML anomaly detected"
EMP228,10,employee_handbook.pdf,LOW,WRITE,Remote,Managed,26,0,NORMAL,0,LOW,
EMP407,5,finance_report.xlsx,HIGH,DOWNLOAD,Remote,Personal,326,1,ANOMALY,90,CRITICAL,"After-hours login, Personal device, High volume file access, ML anomaly detected"
EMP371,18,project_plan.xlsx,MEDIUM,EXPORT,Office,Managed,3,0,NORMAL,0,LOW,
EMP242,11,employee_handbook.pdf,LOW,READ,Remote,Managed,10,0,NORMAL,0,LOW,
EMP297,9,team_notes.docx,LOW,READ,Office,Managed,2,0,NORMAL,0,LOW,
EMP189,13,employee_handbook.pdf,LOW,WRITE,VPN,Managed,26,0,NORMAL,15,LOW,VPN access
EMP071,14,team_notes.docx,LOW,WRITE,Remote,Managed,27,0,NORMAL,0,LOW,
EMP190,9,team_notes.docx,LOW,WRITE,Remote,Personal,13,0,ANOMALY,45,MEDIUM,"Personal device, ML anomaly detected"
EMP104,17,salary.xlsx,CRITICAL,READ,Office,Managed,15,0,NORMAL,15,LOW,Critical file accessed
EMP068,11,payroll.xlsx,CRITICAL,WRITE,Office,Managed,17,0,NORMAL,15,LOW,Critical file accessed
EMP311,17,finance_report.xlsx,HIGH,WRITE,Office,Managed,15,0,NORMAL,0,LOW,
EMP359,17,payroll.xlsx,CRITICAL,READ,Office,Managed,12,0,NORMAL,15,LOW,Critical file accessed
EMP043,18,finance_report.xlsx,HIGH,READ,Office,Managed,10,0,NORMAL,0,LOW,
EMP457,17,employee_handbook.pdf,LOW,READ,Office,Personal,17,0,NORMAL,15,LOW,Personal device
EMP357,16,payroll.xlsx,CRITICAL,READ,Remote,Managed,14,0,NORMAL,15,LOW,Critical file accessed
EMP155,8,team_notes.docx,LOW,WRITE,Office,Managed,2,0,NORMAL,0,LOW,
EMP233,10,employee_handbook.pdf,LOW,READ,Office,Managed,15,0,NORMAL,0,LOW,
EMP336,15,team_notes.docx,LOW,UPLOAD,Remote,Managed,21,0,NORMAL,0,LOW,
EMP065,8,team_notes.docx,LOW,READ,VPN,Managed,27,0,NORMAL,15,LOW,VPN access
EMP012,18,project_plan.xlsx,MEDIUM,READ,Office,Managed,25,0,NORMAL,0,LOW,
EMP241,16,team_notes.docx,LOW,WRITE,Remote,Managed,19,0,NORMAL,0,LOW,
EMP362,13,project_plan.xlsx,MEDIUM,WRITE,Office,Managed,29,0,NORMAL,0,LOW,
EMP260,12,team_notes.docx,LOW,READ,Office,Managed,8,0,NORMAL,0,LOW,
EMP127,18,employee_handbook.pdf,LOW,READ,Office,Managed,24,0,NORMAL,0,LOW,
EMP218,9,team_notes.docx,LOW,READ,Office,Personal,27,0,NORMAL,15,LOW,Personal device
EMP176,11,team_notes.docx,LOW,WRITE,Office,Managed,22,0,NORMAL,0,LOW,
EMP320,12,team_notes.docx,LOW,WRITE,Remote,Managed,23,0,NORMAL,0,LOW,
EMP338,15,team_notes.docx,LOW,EXPORT,Office,Managed,20,0,NORMAL,0,LOW,
EMP267,12,payroll.xlsx,CRITICAL,READ,VPN,Managed,16,0,NORMAL,30,LOW,"VPN access, Critical file accessed"
EMP011,16,team_notes.docx,LOW,READ,Office,Managed,26,0,NORMAL,0,LOW,
EMP063,8,project_plan.xlsx,MEDIUM,EXPORT,Office,Personal,14,0,ANOMALY,45,MEDIUM,"Personal device, ML anomaly detected"
EMP099,11,team_notes.docx,LOW,READ,Remote,Managed,9,0,NORMAL,0,LOW,
EMP360,12,project_plan.xlsx,MEDIUM,UPLOAD,Office,Managed,5,0,NORMAL,0,LOW,
EMP408,16,finance_report.xlsx,HIGH,READ,Office,Managed,29,0,NORMAL,0,LOW,
EMP310,12,project_plan.xlsx,MEDIUM,READ,Office,Managed,28,0,NORMAL,0,LOW,
EMP389,12,salary.xlsx,CRITICAL,WRITE,Office,Managed,10,0,NORMAL,15,LOW,Critical file accessed
EMP447,18,payroll.xlsx,CRITICAL,READ,Office,Personal,26,0,NORMAL,30,LOW,"Personal device, Critical file accessed"
EMP018,12,payroll.xlsx,CRITICAL,WRITE,Office,Personal,10,0,NORMAL,30,LOW,"Personal device, Critical file accessed"
EMP325,18,employee_handbook.pdf,LOW,READ,Office,Managed,18,0,NORMAL,0,LOW,
EMP345,15,payroll.xlsx,CRITICAL,READ,Office,Managed,5,0,NORMAL,15,LOW,Critical file accessed
EMP122,14,salary.xlsx,CRITICAL,READ,Office,Personal,23,0,NORMAL,30,LOW,"Personal device, Critical file accessed"
EMP453,11,team_notes.docx,LOW,WRITE,Office,Managed,25,0,NORMAL,0,LOW,
EMP267,17,payroll.xlsx,CRITICAL,READ,Office,Managed,22,0,NORMAL,15,LOW,Critical file accessed
EMP059,9,salary.xlsx,CRITICAL,READ,Remote,Managed,4,0,NORMAL,15,LOW,Critical file accessed
EMP294,12,project_plan.xlsx,MEDIUM,EXPORT,Office,Personal,27,0,ANOMALY,45,MEDIUM,"Personal device, ML anomaly detected"
EMP113,10,finance_report.xlsx,HIGH,DOWNLOAD,Office,Managed,18,0,NORMAL,0,LOW,
EMP405,8,payroll.xlsx,CRITICAL,WRITE,Office,Managed,21,0,NORMAL,15,LOW,Critical file accessed
EMP324,10,finance_report.xlsx,HIGH,DOWNLOAD,Office,Managed,15,0,NORMAL,0,LOW,
EMP122,11,finance_report.xlsx,HIGH,WRITE,Office,Managed,3,0,NORMAL,0,LOW,
EMP203,12,employee_handbook.pdf,LOW,WRITE,Office,Managed,3,0,NORMAL,0,LOW,
EMP097,9,finance_report.xlsx,HIGH,READ,Office,Managed,20,0,NORMAL,0,LOW,
EMP360,11,payroll.xlsx,CRITICAL,DOWNLOAD,Office,Managed,18,0,NORMAL,15,LOW,Critical file accessed
EMP232,12,project_plan.xlsx,MEDIUM,READ,Remote,Managed,25,0,NORMAL,0,LOW,
EMP146,10,project_plan.xlsx,MEDIUM,READ,Office,Managed,26,0,NORMAL,0,LOW,
EMP479,15,employee_handbook.pdf,LOW,READ,Office,Managed,25,0,NORMAL,0,LOW,
EMP306,11,project_plan.xlsx,MEDIUM,WRITE,Office,Managed,29,0,NORMAL,0,LOW,
EMP407,13,project_plan.xlsx,MEDIUM,WRITE,Office,Managed,20,0,NORMAL,0,LOW,
EMP190,14,team_notes.docx,LOW,READ,Office,Managed,15,0,NORMAL,0,LOW,
EMP047,18,finance_report.xlsx,HIGH,READ,Office,Personal,2,0,NORMAL,15,LOW,Personal device
EMP150,18,project_plan.xlsx,MEDIUM,READ,Office,Managed,13,0,NORMAL,0,LOW,
EMP120,16,employee_handbook.pdf,LOW,READ,Remote,Managed,11,0,NORMAL,0,LOW,
EMP471,16,project_plan.xlsx,MEDIUM,READ,Office,Managed,4,0,NORMAL,0,LOW,
EMP451,14,project_plan.xlsx,MEDIUM,EXPORT,Office,Managed,27,0,NORMAL,0,LOW,
EMP143,15,employee_handbook.pdf,LOW,READ,Office,Managed,13,0,NORMAL,0,LOW,
EMP495,13,employee_handbook.pdf,LOW,READ,Remote,Managed,23,0,NORMAL,0,LOW,
EMP352,18,salary.xlsx,CRITICAL,READ,Office,Personal,30,0,NORMAL,30,LOW,"Personal device, Critical file accessed"
EMP413,13,employee_handbook.pdf,LOW,READ,Office,Personal,19,0,NORMAL,15,LOW,Personal device
EMP409,12,finance_report.xlsx,HIGH,DOWNLOAD,Office,Managed,26,0,NORMAL,0,LOW,
EMP215,9,team_notes.docx,LOW,READ,Office,Managed,26,0,NORMAL,0,LOW,
EMP136,14,finance_report.xlsx,HIGH,WRITE,Office,Managed,6,0,NORMAL,0,LOW,
EMP250,15,project_plan.xlsx,MEDIUM,DELETE,Office,Managed,15,0,NORMAL,0,LOW,
EMP217,9,salary.xlsx,CRITICAL,WRITE,Office,Managed,8,0,NORMAL,15,LOW,Critical file accessed
EMP470,9,team_notes.docx,LOW,READ,Remote,Managed,18,0,NORMAL,0,LOW,
EMP249,15,employee_handbook.pdf,LOW,WRITE,Office,Managed,19,0,NORMAL,0,LOW,
EMP214,10,employee_handbook.pdf,LOW,READ,Office,Managed,23,0,NORMAL,0,LOW,
EMP220,17,salary.xlsx,CRITICAL,READ,Office,Managed,13,0,NORMAL,15,LOW,Critical file accessed
EMP027,14,team_notes.docx,LOW,WRITE,Remote,Managed,14,0,NORMAL,0,LOW,
EMP224,14,salary.xlsx,CRITICAL,READ,Remote,Managed,27,0,NORMAL,15,LOW,Critical file accessed
EMP490,18,payroll.xlsx,CRITICAL,READ,Office,Managed,2,0,NORMAL,15,LOW,Critical file accessed
EMP063,10,team_notes.docx,LOW,DOWNLOAD,Office,Managed,15,0,NORMAL,0,LOW,
EMP301,11,team_notes.docx,LOW,DOWNLOAD,Office,Managed,26,0,NORMAL,0,LOW,
EMP277,15,salary.xlsx,CRITICAL,READ,Office,Managed,24,0,NORMAL,15,LOW,Critical file accessed
EMP215,11,salary.xlsx,CRITICAL,EXPORT,Remote,Managed,30,0,NORMAL,15,LOW,Critical file accessed
EMP302,14,employee_handbook.pdf,LOW,READ,Office,Managed,8,0,NORMAL,0,LOW,
EMP198,11,payroll.xlsx,CRITICAL,SHARE,Office,Managed,29,0,NORMAL,15,LOW,Critical file accessed
EMP139,8,salary.xlsx,CRITICAL,READ,Remote,Managed,22,0,NORMAL,15,LOW,Critical file accessed
EMP290,11,payroll.xlsx,CRITICAL,SHARE,Office,Managed,17,0,NORMAL,15,LOW,Critical file accessed
EMP131,17,employee_handbook.pdf,LOW,READ,Office,Managed,7,0,NORMAL,0,LOW,
EMP485,18,team_notes.docx,LOW,DELETE,Office,Managed,8,0,NORMAL,0,LOW,
EMP450,12,employee_handbook.pdf,LOW,READ,VPN,Managed,4,0,NORMAL,15,LOW,VPN access
EMP048,15,team_notes.docx,LOW,READ,Office,Managed,25,0,NORMAL,0,LOW,
EMP378,9,employee_handbook.pdf,LOW,UPLOAD,Office,Managed,18,0,NORMAL,0,LOW,
EMP477,14,finance_report.xlsx,HIGH,WRITE,Office,Managed,4,0,NORMAL,0,LOW,
EMP213,16,project_plan.xlsx,MEDIUM,UPLOAD,Remote,Managed,27,0,NORMAL,0,LOW,
EMP293,16,finance_report.xlsx,HIGH,DOWNLOAD,Office,Managed,14,0,NORMAL,0,LOW,
EMP320,17,payroll.xlsx,CRITICAL,READ,Remote,Managed,28,0,NORMAL,15,LOW,Critical file accessed
EMP467,15,salary.xlsx,CRITICAL,READ,Office,Managed,5,0,NORMAL,15,LOW,Critical file accessed
EMP254,8,salary.xlsx,CRITICAL,SHARE,Remote,Managed,26,0,NORMAL,15,LOW,Critical file accessed
EMP485,9,project_plan.xlsx,MEDIUM,READ,Office,Managed,16,0,NORMAL,0,LOW,
EMP257,2,finance_report.xlsx,HIGH,DOWNLOAD,VPN,Personal,169,1,ANOMALY,100,CRITICAL,"After-hours login, Personal device, VPN access, High volume file access, ML anomaly detected"
EMP009,18,salary.xlsx,CRITICAL,READ,Office,Managed,14,0,NORMAL,15,LOW,Critical file accessed
EMP037,18,employee_handbook.pdf,LOW,READ,Office,Managed,11,0,NORMAL,0,LOW,
EMP462,17,finance_report.xlsx,HIGH,WRITE,Remote,Managed,25,0,NORMAL,0,LOW,
EMP193,9,finance_report.xlsx,HIGH,WRITE,Office,Managed,21,0,NORMAL,0,LOW,
EMP185,16,employee_handbook.pdf,LOW,WRITE,Remote,Managed,26,0,NORMAL,0,LOW,
EMP165,12,salary.xlsx,CRITICAL,READ,Office,Managed,9,0,NORMAL,15,LOW,Critical file accessed
EMP283,9,team_notes.docx,LOW,READ,Office,Managed,16,0,NORMAL,0,LOW,
EMP098,12,payroll.xlsx,CRITICAL,READ,Remote,Managed,11,0,NORMAL,15,LOW,Critical file accessed
EMP422,10,employee_handbook.pdf,LOW,READ,Office,Managed,9,0,NORMAL,0,LOW,
EMP435,17,team_notes.docx,LOW,WRITE,Office,Managed,8,0,NORMAL,0,LOW,
EMP425,11,finance_report.xlsx,HIGH,UPLOAD,Remote,Managed,25,0,NORMAL,0,LOW,
EMP021,12,payroll.xlsx,CRITICAL,WRITE,Office,Managed,5,0,NORMAL,15,LOW,Critical file accessed
EMP071,16,payroll.xlsx,CRITICAL,READ,Office,Managed,17,0,NORMAL,15,LOW,Critical file accessed
EMP264,11,employee_handbook.pdf,LOW,READ,Office,Managed,24,0,NORMAL,0,LOW,
EMP332,13,payroll.xlsx,CRITICAL,EXPORT,Office,Managed,5,0,NORMAL,15,LOW,Critical file accessed
EMP391,10,team_notes.docx,LOW,READ,Office,Managed,19,0,NORMAL,0,LOW,
EMP122,5,payroll.xlsx,CRITICAL,DOWNLOAD,VPN,Personal,326,1,NORMAL,90,CRITICAL,"After-hours login, Personal device, VPN access, High volume file access, Critical file accessed"
EMP018,9,salary.xlsx,CRITICAL,EXPORT,Office,Managed,14,0,NORMAL,15,LOW,Critical file accessed
EMP420,11,employee_handbook.pdf,LOW,WRITE,Office,Managed,1,0,NORMAL,0,LOW,
EMP290,18,project_plan.xlsx,MEDIUM,DOWNLOAD,Office,Managed,25,0,NORMAL,0,LOW,
EMP173,16,project_plan.xlsx,MEDIUM,WRITE,Office,Managed,11,0,NORMAL,0,LOW,
EMP061,8,employee_handbook.pdf,LOW,READ,Remote,Managed,7,0,NORMAL,0,LOW,
EMP490,16,salary.xlsx,CRITICAL,WRITE,Office,Managed,28,0,NORMAL,15,LOW,Critical file accessed
EMP187,15,payroll.xlsx,CRITICAL,READ,Remote,Managed,11,0,NORMAL,15,LOW,Critical file accessed
EMP429,14,employee_handbook.pdf,LOW,WRITE,Office,Managed,28,0,NORMAL,0,LOW,
EMP400,9,salary.xlsx,CRITICAL,WRITE,Remote,Managed,29,0,NORMAL,15,LOW,Critical file accessed
